ImeKluba,Sport,Mjesto,Liga,RangNatjecanja,GodinaOsnutka,Predsjednik.Ime,Predsjednik.Prezime,Kontakt_Email,Kontakt_Telefon,Igrač.Ime,Igrač.Prezime
RK Zagreb,Rukomet,Zagreb,Paket24 Premijer liga,1,1922,Vedran,Šupuković,info@rk-zagreb.hr,015559695,Aljaž,Panjtar
RK Zagreb,Rukomet,Zagreb,Paket24 Premijer liga,1,1922,Vedran,Šupuković,info@rk-zagreb.hr,015559695,Jakov,Gojun
RK Zagreb,Rukomet,Zagreb,Paket24 Premijer liga,1,1922,Vedran,Šupuković,info@rk-zagreb.hr,015559695,Timur,Dibirov
RK Zagreb,Rukomet,Zagreb,Paket24 Premijer liga,1,1922,Vedran,Šupuković,info@rk-zagreb.hr,015559695,Davor,Ćavar
RK Zagreb,Rukomet,Zagreb,Paket24 Premijer liga,1,1922,Vedran,Šupuković,info@rk-zagreb.hr,015559695,Filip,Glavaš
RK Zagreb,Rukomet,Zagreb,Paket24 Premijer liga,1,1922,Vedran,Šupuković,info@rk-zagreb.hr,015559695,Ivan,Čupić
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Ivan,Nevistić
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Antonio,Rajić
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Dino,Perić
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Boško,Šutalo
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Arijan,Ademi
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Robert,Ljubičić
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Martin,Baturina
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Bruno,Petković
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Luka,Menalo
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Dario,Špikić
GNK Dinamo Zagreb,Nogomet,Zagreb,SuperSport HNL,1,1945,Mirko,Barišić,dinamo@gnkdinamo.hr,012386111,Josip,Mišić
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Matej,Marković
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Mario,Marić
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Jakov,Bašić
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Camara,Aboubacar
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Luka,Pasariček
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Tomislav,Srbljinović
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Krešimir,Kovačević
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Brian,Oddei
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Vinko,Petković
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Ivan,Pešić
NK Rudeš,Nogomet,Zagreb,SuperSport HNL,1,1957,Josip,Šimunić,info@nk-rudes.hr,013860844,Karlo,Špeljak
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Domagoj,Vuković
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Krešimir,Radovčić
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Ivan,Perasović
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Jakov,Mustapić
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Domagoj,Proleta
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Ivan,Majcunić
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Juraj,Golemac
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Josip,Pavković
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Aleksandar,Aranitović
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Filip,Ferderber
KK Cibona,Košarka,Zagreb,FAVBET Premijer liga,1,1946,Mario,Petrović,club@cibona.com,014843016,Niko,Bandov
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Karlo,Mikšić
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Luka,Vargek
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Hrvoje,Garafolić
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Ivan,Vrgoč
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Filip,Kraljević
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Matija,Pavlic
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Roko,Lukić
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Marin,Vručinić
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Ivan,Novačić
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Stipe,Dugandžić
KK Dinamo Zagreb,Košarka,Zagreb,FAVBET Premijer liga,1,1972,Marijan,Pojatina,info@kkdinamo.hr,0916036574,Mislav,Brzoja
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Marko,Barešić
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Marko,Malenica
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Slavko,Bralić
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Marin,Prekodravac
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Domagoj,Bukvić
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Ivan,Fiolić
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Vedran,Jugović
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Kristijan,Lovrić
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Kristian,Fućak
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Darko,Nejašmić
NK Osijek,Nogomet,Osijek,SuperSport HNL,1,1947,Ferenc,Sakalj,nk.osijek@nk-osijek.hr,031570300,Petar,Pušić
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Moreno,Car
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Mihailo,Radovanović
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Dominik,Kuzmanović
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Fahrudin,Melić
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Manuel,Štrlek
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Ivan,Sršen
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Adir,Cohen
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Luka,Moslavac
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Marko,Bezjak
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Lovro,Jotić
RK Nexe,Rukomet,Našice,Paket24 Premijer liga,1,1959,Josip,Ergović,franjo.lelic@rknexe.hr,098624437,Mario,Tomić
